1,17,13,17,31,141,31,141,13,Transaction Id,other
1,441,13,441,31,485,31,485,13,Fare,other
1,12,50,12,74,174,74,174,50,10000/692655829,other
1,412,50,412,74,484,74,484,50,1570.49,total
1,92,112,92,136,172,136,172,112,Station,other
1,298,112,298,136,406,136,406,112,To Station,other
1,38,148,38,172,144,172,144,148,AMBALA,source
1,298,146,298,172,402,172,402,146,SHMA TA,destination
1,38,174,38,198,144,198,144,174,CaNT JN,source
1,298,174,298,198,426,198,426,174,VD Katra,destination
1,36,200,36,228,118,228,118,200,(UMB),source
1,295,200,295,230,385,230,385,200,(SVDK),destination
1,40,256,40,282,144,282,144,256,Depariure,other
1,302,254,302,278,378,278,378,254,Arrival,other
1,38,286,38,310,194,310,194,286,22 Feb 20/9 20.28,departure
1,302,286,302,310,454,310,454,286,23 Feb 20/9 05./0,arrival
1,39,327,39,347,105,347,105,327,Quota,other
1,300,324,300,352,406,352,406,324,Class Type,other
1,41,357,41,377,119,377,119,357,Ta TKAL,other
1,301,357,301,377,327,377,327,357,2a,other
1,39,392,39,424,164,424,164,392,Boarding At,other
1,302,396,302,420,380,420,380,396,Da te of,other
1,38,426,38,450,260,450,260,426,AMBALA CANT JN (UMB),source
1,301,417,301,446,400,446,400,417,Boarding,other
1,300,450,300,474,402,474,402,450,22 Feb 20/9,departure
1,38,490,38,514,96,514,96,490,Adult,other
1,302,490,302,514,358,514,358,490,Child,other
1,40,566,40,590,162,590,162,566,Tra in Name,other
1,302,566,302,590,388,590,388,566,PNR No,other
1,39,599,39,619,211,619,211,599,ShRI ShAKTI EXP,train_name
1,301,599,301,619,403,619,403,599,2158499366,pnr
1,36,618,36,644,104,644,104,618,(22461),train_name
1,40,657,40,685,274,685,274,657,Travel Insurance Opted:,other
1,281,661,281,681,317,681,317,661,Yes,other
1,38,710,38,734,102,734,102,710,Name,other
1,300,710,300,734,374,734,374,710,Status,other
1,70,764,70,788,194,788,194,764,MALHOTRA,other
1,298,768,298,792,344,792,344,768,CNF,other
1,68,794,68,818,120,818,120,794,34 M,other
1,298,798,298,822,382,822,382,798,Asiisi?,other
1,36,844,36,868,177,868,177,844,GST DE TAILS,other
1,38,896,38,926,274,926,274,896,Supplier Information,other
1,38,936,38,960,166,960,166,936,SAC Number,other
1,246,936,246,960,370,960,370,936,GSTIN/Sta Ie,other
1,39,963,39,983,101,983,101,963,996421,other
1,247,963,247,983,425,983,425,963,07aAAGM028OCIZL,gst_no
1,248,988,248,1012,334,1012,334,988,Haryana,other
1,37,1029,37,1049,89,1049,89,1029,IGST,other
1,38,1052,38,1076,158,1076,158,1052,74.55 @ 5.0%,igst
1,40,1092,40,1116,138,1116,138,1092,Total Tax,other
1,246,1090,246,1118,394,1118,394,1090,Taxable Value,other
1,37,1117,37,1143,90,1143,90,1117,74.55,other
1,244,1118,244,1142,314,1142,314,1118,1495.45,other
1,11,1173,11,1193,33,1193,33,1173,N,other
1,10,1204,10,1232,454,1232,454,1204,Are you aware that 43% Of your fare is borne by,other
1,10,1224,10,1252,354,1252,354,1224,the common citizens of the country?,other
1,13,1279,13,1297,183,1297,183,1279,This Ticket is booked on,other
1,195,1281,195,1299,475,1299,475,1281,personaluser iD.Its salelpurchase isan,other
1,13,1295,13,1315,291,1315,291,1295,offence uls 1430f the Railways Act /989,other
1,11,1327,11,1347,435,1347,435,1327,For MEdical EMERCENcY/FiRSTaid conTact ticket,other
1,11,1345,11,1363,287,1363,287,1345,CHECKINC Stafficuar dor Dial /38,other
1,10,1392,10,1418,252,1418,252,1392,"Please visit ""My bookings",other
1,258,1394,258,1418,376,1418,376,1394,10 view your,other
1,10,1412,10,1436,80,1436,80,1412,tickets,other
1,26,1556,26,1582,164,1582,164,1556,Book Meal,other
1,39,110,39,137,91,137,91,110,From,other
